Category			Species		Count
			Arabidopsis lyrata	59689	1
			Capsella rubella	81985	1
			Camelina sativa	90675	1
			Eutrema salsugineum	72664	1
			Brassica rapa	3711	1
			Brassica napus	3708	1
			Brassica oleracea	3712	1
		Caper family	Tarenaya hassleriana	28532	1
		Papaya family	Carica papaya	3649	1
		Rue family	Citrus sinensis	2711	1
			Citrus clementina	85681	1
		Mallow family	Theobroma cacao	3641	1
			Gossypium raimondii	29730	1
			Gossypium hirsutum	3635	1
			Durio zibethinus	66656	1
		Myrtle family	Eucalyptus grandis	71139	1
		Pea family	Glycine max	3847	1
			Phaseolus vulgaris	3885	1
			Vigna radiata	157791	1
			Vigna angularis	3914	1
			Cajanus cajan	3821	1
			Medicago truncatula	3880	1
			Cicer arietinum	3827	1
			Lotus japonicus	34305	1
			Arachis duranensis	130453	1
			Arachis ipaensis	130454	1
			Lupinus angustifolius	3871	1
		Rose family	Fragaria vesca	57918	1
			Prunus persica	3760	1
			Prunus mume	102107	1
			Prunus avium	42229	1
			Malus domestica	3750	1
			Pyrus x bretschneideri	225117	1
		Buckthorn family	Ziziphus jujuba	326968	1
		Cucumber family	Cucumis sativus	3659	1
			Cucumis melo	3656	1
			Momordica charantia	3673	1
			Cucurbita maxima	3661	1
			Cucurbita moschata	3662	1
			Cucurbita pepo	3663	1
		Spurge family	Ricinus communis	3988	1
			Jatropha curcas	180498	1
			Hevea brasiliensis	3981	1
		Willow family	Populus trichocarpa	3694	1
		Walnut family	Juglans regia	51240	1
		Grape family	Vitis vinifera	29760	1
		Nightshade family	Solanum lycopersicum	4081	1
			Solanum pennellii	28526	1
			Solanum tuberosum	4113	1
			Capsicum annuum	4072	1
			Nicotiana tabacum	4097	1
			Nicotiana sylvestris	4096	1
			Nicotiana tomentosiformis	4098	1
		Morning-glory family	Ipomoea nil	35883	1
		Sesame family	Sesamum indicum	4182	1
		Olive family	Olea europaea	4146	1
		Daisy family	Helianthus annuus	4232	1
			Lactuca sativa	4236	1
			Cynara cardunculus	4265	1
		Parsley family	Daucus carota	4039	1
		Amaranth family	Beta vulgaris	161934	1
			Spinacia oleracea	3562	1
		Lotus family	Nelumbo nucifera	4432	1
	Monocots	Grass family	Oryza sativa	4530	2
			Oryza brachyantha	4533	1
			Brachypodium distachyon	15368	1
			Aegilops tauschii	37682	1
			Sorghum bicolor	4558	1
			Zea mays	4577	1
			Setaria italica	4555	1
		Palm family	Phoenix dactylifera	42345	1
			Elaeis guineensis	51953	1
		Banana family	Musa acuminata	4641	1
		Orchid family	Dendrobium officinale	142615	1
			Phalaenopsis equestris	78828	1
		Asparagus family	Asparagus officinalis	4686	1
	Basal Magnoliophyta	Amborella family	Amborella trichopoda	13333	1
	Ferns		Selaginella moellendorffii	88036	1
	Mosses		Physcomitrella patens	3218	1
	Green algae		Chlamydomonas reinhardtii	3055	1
			Volvox carteri	3067	1
			Monoraphidium neglectum	145388	1
			Ostreococcus sp. 'lucimarinus'	242159	1
			Ostreococcus tauri	70448	1
			Bathycoccus prasinos	41875	1
			Micromonas commoda	296587	1
			Micromonas pusilla	38833	1
			Coccomyxa subellipsoidea	248742	1
			Chlorella variabilis	554065	1
			Auxenochlorella protothecoides	3075	1
	Red algae		Cyanidioschyzon merolae	45157	1
			Galdieria sulphuraria	130081	1
			Chondrus crispus	2769	1
Fungi	Ascomycetes	Saccharomycetes	Saccharomyces cerevisiae	4932	1
			Eremothecium gossypii	33169	1
			Eremothecium cymbalariae	45285	1
			Kluyveromyces lactis	28985	1
			Kluyveromyces marxianus	4911	1
			Lachancea thermotolerans	381046	1
			Vanderwaltozyma polyspora	36033	1
			Zygosaccharomyces rouxii	4956	1
			Candida glabrata	5478	1
			Naumovozyma castellii	27288	1
			Naumovozyma dairenensis	27289	1
			Tetrapisispora phaffii	113608	1
			Tetrapisispora blattae	1071379	1
			Torulaspora delbrueckii	4950	1
			Kazachstania africana	432096	1
			Komagataella phaffii	460519	1
			Debaryomyces hansenii	4959	1
			Scheffersomyces stipitis	4924	1
			Meyerozyma guilliermondii	4929	1
			Spathaspora passalidarum	340170	1
			Lodderomyces elongisporus	36914	1
			Candida albicans	5476	1
			Candida tropicalis	5482	1
			Candida orthopsilosis	273371	1
			Candida dubliniensis	42374	1
			Yamadazyma tenuis	2315449	1
			Yarrowia lipolytica	4952	1
			Clavispora lusitaniae	36911	2
			[Candida] auris	498019	1
			Sugiyamaella lignohabitans	796027	1
		Sordariomycetes	Neurospora crassa	5141	1
			Neurospora tetrasperma	40127	1
			Sordaria macrospora	5147	1
			Podospora anserina	5145	1
			Thielavia terrestris	35720	1
			Thermothelomyces thermophila	78579	1
			Chaetomium thermophilum	209285	1
			Magnaporthe oryzae	318829	1
			Phaeoacremonium minimum	223192	1
			Sporothrix schenckii	29908	1
			Fusarium graminearum	5518	1
			Fusarium pseudograminearum	101028	1
			Fusarium verticillioides	117187	1
			Fusarium oxysporum	5507	1
			Nectria haematococca	140110	1
			Trichoderma reesei	51453	1
			Metarhizium acridum	92637	1
			Metarhizium robertsii	568076	1
			Cordyceps militaris	73501	1
			Purpureocillium lilacinum	33203	1
			Verticillium alfalfae	1051613	1
			Verticillium dahliae	27337	1
			Colletotrichum fioriniae	710243	1
			Eutypa lata	97096	1
			Pestalotiopsis fici	393283	1
		Leotiomycetes	Sclerotinia sclerotiorum	5180	1
			Botrytis cinerea	40559	1
			Marssonina brunnea	698440	1
			Phialocephala scopiformis	149040	1
			Glarea lozoyensis	101852	1
		Eurotiomycetes	Aspergillus nidulans	162425	1
			Aspergillus fumigatus	746128	1
			Aspergillus oryzae	5062	1
			Aspergillus niger	5061	1
			Aspergillus flavus	5059	1
			Aspergillus clavatus	5057	1
			Aspergillus fischeri	36630	1
			Penicillium rubens	1108849	1
			Penicillium digitatum	36651	1
			Coccidioides immitis	5501	1
			Coccidioides posadasii	199306	1
			Paracoccidioides lutzii	1048829	1
			Paracoccidioides brasiliensis	121759	1
			Uncinocarpus reesii	33188	1
			Trichophyton benhamiae	63400	1
			Trichophyton verrucosum	63417	1
			Histoplasma capsulatum	5037	1
		Dothideomycetes	Parastagonospora nodorum	13684	1
			Pyrenophora teres	53485	1
			Bipolaris zeicola	5017	1
			Bipolaris sorokiniana	45130	1
			Bipolaris oryzae	101162	1
			Alternaria alternata	5599	1
			Zymoseptoria tritici	1047171	1
			Pseudocercospora fijiensis	1873960	1
			Baudoinia panamericana	1709381	1
			Neofusicoccum parvum	310453	1
		Pezizomycetes	Tuber melanosporum	39416	1
		Schizosaccharomycetes	Schizosaccharomyces pombe	4896	1
	Basidiomycetes		Cryptococcus neoformans	5207	2
			Cryptococcus gattii VGI	37769	1
			Tremella mesenterica	5217	1
			Postia placenta	104341	1
			Trametes versicolor	5325	1
			Dichomitus squalens	114155	1
			Phanerochaete carnosa	231932	1
			Stereum hirsutum	40492	1
			Heterobasidion irregulare	984962	1
			Punctularia strigosozonata	202698	1
			Auricularia subglabra	1331295	1
			Fomitiporia mediterranea	208960	1
			Gloeophyllum trabeum	104355	1
			Laccaria bicolor	29883	1
			Moniliophthora perniciosa	153609	1
			Moniliophthora roreri	221103	1
			Coprinopsis cinerea	5346	1
			Schizophyllum commune	5334	1
			Agaricus bisporus	5341	2
			Coniophora puteana	80637	1
			Serpula lacrymans	85982	1
			Wallemia mellicola	1708541	1
			Wallemia ichthyophaga	245174	1
			Ustilago maydis	5270	1
			Anthracocystis flocculosa	84751	1
			Malassezia globosa	76773	1
			Puccinia graminis	5297	1
			Melampsora larici-populina	203908	1
	Microsporidians		Encephalitozoon cuniculi	6035	1
			Encephalitozoon intestinalis	58839	1
			Encephalitozoon hellem	27973	1
			Encephalitozoon romaleae	571949	1
			Nosema ceranae	40302	1
Protists	Choanoflagellates		Monosiga brevicollis	81824	1
			Salpingoeca rosetta	946362	1
	Amoebozoa	Dictyostelium	Dictyostelium discoideum	44689	1
			Dictyostelium purpureum	5786	1
		Cavenderia	Cavenderia fasciculata	261658	1
		Entamoeba	Entamoeba histolytica	5759	1
			Entamoeba dispar	46681	1
			Entamoeba invadens	33085	1
		Acanthamoeba	Acanthamoeba castellanii	5755	1
	Alveolates	Apicomplexans	Plasmodium falciparum	5833	3
			Plasmodium yoelii	5861	1
			Plasmodium chabaudi	5825	1
			Plasmodium berghei	5821	1
			Plasmodium knowlesi	5850	1
			Plasmodium vivax	5855	1
			Plasmodium cynomolgi	5827	1
			Theileria annulata	5874	1
			Theileria parva	5875	1
			Theileria orientalis	68886	1
			Theileria equi	5872	1
			Babesia bovis	5865	1
			Babesia microti	5868	1
			Cryptosporidium parvum	5807	1
			Cryptosporidium hominis	237895	1
			Toxoplasma gondii	5811	1
		Ciliates	Tetrahymena thermophila	5911	1
			Paramecium tetraurelia	5888	1
		Dinoflagellates	Symbiodinium minutum	1202447	1
	Stramenopiles	Diatoms	Phaeodactylum tricornutum	2850	1
			Fragilariopsis cylindrus	186039	1
			Thalassiosira pseudonana	35128	1
		Pelagophytes	Aureococcus anophagefferens	44056	1
		Eustigmatophytes	Nannochloropsis gaditana	72520	1
		Oomycetes	Phytophthora infestans	4787	1
			Phytophthora sojae	67593	1
			Saprolegnia parasitica	101203	1
	Haptophyta		Emiliania huxleyi	2903	1
	Cryptomonads		Guillardia theta	55529	1
	Euglenozoa	Kinetoplasts	Trypanosoma brucei	5691	1
			Trypanosoma cruzi	5693	1
			Leishmania major	5664	1
			Leishmania infantum	5671	1
			Leishmania donovani	5661	1
			Leishmania mexicana	5665	1
			Leishmania braziliensis	5660	1
	Heterolobosea	Amoeboflagellate	Naegleria gruberi	5762	1
	Parabasalids	Trichomonads	Trichomonas vaginalis	5722	1
	Diplomonads		Giardia intestinalis	5741	1
					
Prokaryotes					
					
Category		Species		Count	
Bacteria	Gammaproteobacteria - Enterobacteria	Escherichia coli	562	65	
		Escherichia fergusonii	564	1	
		Escherichia albertii	208962	1	
		Escherichia marmotae	1499973	1	
		Salmonella enterica	28901	50	
		Salmonella bongori	54736	3	
		Shigella flexneri	623	7	
		Shigella sonnei	624	1	
		Shigella boydii	621	2	
		Shigella dysenteriae	622	2	
		Shigella sp. PAMC 28760	1813821	1	
		Enterobacter sp. 638	399742	1	
		Enterobacter cloacae	550	9	
		Enterobacter hormaechei	158836	7	
		Enterobacter asburiae	61645	2	
		Enterobacter kobei	208224	1	
		Enterobacter ludwigii	299767	1	
		Enterobacter cancerogenus	69218	1	
		Enterobacter roggenkampii	1812935	2	
		Enterobacter sp. R4-368	1166130	1	
		Enterobacter sp. E20	1560339	1	
		Enterobacter sp. FY-07	1692238	1	
		Cronobacter sakazakii	28141	4	
		Cronobacter condimenti	1163710	1	
		Cronobacter dublinensis	413497	1	
		Cronobacter malonaticus	413503	2	
		Cronobacter universalis	535744	1	
		Cronobacter muytjensii	413501	1	
		Cronobacter turicensis	413502	1	
		Klebsiella pneumoniae	573	25	
		Klebsiella variicola	244366	4	
		Klebsiella michiganensis	1134687	5	
		Klebsiella oxytoca	571	2	
		Klebsiella quasipneumoniae	1463165	1	
		[Enterobacter] aerogenes	548	2	
		Klebsiella quasivariicola	2026240	1	
		Citrobacter koseri	545	1	
		Citrobacter rodentium	67825	1	
		Citrobacter freundii	546	1	
		Citrobacter braakii	57706	1	
		Citrobacter werkmanii	67827	1	
		Citrobacter youngae	133448	1	
		Citrobacter amalonaticus	35703	2	
		Citrobacter sp. FDAARGOS 156		1	
		Citrobacter farmeri	67824	1	
		Citrobacter sp. CFNIH10	1920110	1	
		Citrobacter sp. CRE-46	1703250	1	
		Gibbsiella quercinecans	929813	1	
		Candidatus Blochmannia floridanus	203907	1	
		Candidatus Blochmannia pennsylvanicus	101534	1	
		Candidatus Blochmannia vafer	251535	1	
		Candidatus Blochmannia chromaiodes	251542	1	
		Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	1505597	1	
		Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	1505596	1	
		Candidatus Hamiltonella defensa	138072	1	
		secondary endosymbiont of Ctenarytaina eucalypti	1199245	1	
		secondary endosymbiont of Heteropsylla cubana	134287	1	
		secondary endosymbiont of Trabutina mannipara	1835721	1	
		Candidatus Riesia pediculicola	401619	1	
		Candidatus Riesia sp. GBBU	1719125	1	
		Candidatus Moranella endobia	1048758	2	
		Shimwellia blattae	563	1	
		Raoultella ornithinolytica	54291	2	
		Raoultella planticola	575	1	
		Raoultella sp. X13	2259647	1	
		Cedecea neteri	158822	3	
		Pluralibacter gergoviae	61647	1	
		[Enterobacter] lignolyticus	1334193	2	
		Kosakonia sacchari	1158459	1	
		Kosakonia oryzae	497725	1	
		Kosakonia radicincitans	283686	1	
		Kosakonia cowanii	208223	1	
		Kluyvera georgiana	73098	1	
		Candidatus Ishikawaella capsulata	168169	1	
		Leclercia adecarboxylata	83655	1	
		Leclercia sp. LSNIH1	1920114	1	
		Leclercia sp. LSNIH3	1920116	1	
		Lelliottia amnigena	61646	1	
		Lelliottia jeotgali	1907578	1	
		Lelliottia nimipressuralis	69220	1	
		Lelliottia sp. WB101	2153385	1	
		Limnobaculum parvum	2172103	1	
		Buttiauxella sp. 3AFRM03	2479367	1	
		Candidatus Tachikawaea gelatinosa	1410383	1	
		Candidatus Doolittlea endobia	1778262	1	
		Candidatus Hoaglandella endobia	1778263	1	
		Candidatus Gullanella endobia	1070130	1	
		Candidatus Mikella endobia	1778264	1	
		Candidatus Purcelliella pentastirinorum	472834	1	
		Enterobacteriaceae bacterium strain FGI 57	693444	1	
		Enterobacteriaceae bacterium ENNIH2	1920109	1	
		Enterobacteriaceae bacterium S05	2052938	1	
		Plautia stali symbiont	891974	1	
		Yersinia pestis	632	16	
		Yersinia pseudotuberculosis	633	10	
		Yersinia enterocolitica	630	8	
		Yersinia similis	367190	1	
		Yersinia aldovae	29483	1	
		Yersinia frederiksenii	29484	1	
		Yersinia intermedia	631	1	
		Yersinia kristensenii	28152	1	
		Yersinia rohdei	29485	1	
		Yersinia ruckeri	29486	2	
		Yersinia aleksiciae	263819	1	
		Yersinia massiliensis	419257	1	
		Serratia proteamaculans	28151	1	
		Serratia plymuthica	82996	4	
		Serratia sp. AS12	768490	1	
		Serratia sp. AS13	768493	1	
		Serratia symbiotica	138074	1	
		Serratia sp. FGI94	671990	1	
		Serratia marcescens	615	3	
		Serratia liquefaciens	614	1	
		Serratia sp. FS14	1327989	1	
		Serratia sp. SCBI	488142	1	
		Serratia fonticola	47917	2	
		Serratia rubidaea	61652	1	
		Serratia sp. ATCC 39006	104623	1	
		Serratia sp. MYb239	2033438	1	
		Chania multitudinisentens	1639108	1	
		Rahnella sp. Y9602	741091	1	
		Rahnella aquatilis	34038	2	
		Rahnella sp. ERMR1:05	1805933	1	
		Pectobacterium atrosepticum	29471	3	
		Pectobacterium carotovorum	554	3	
		Pectobacterium parmentieri	1905730	3	
		Pectobacterium wasabiae	55208	1	
		Pectobacterium polaris	2042057	1	
		Sodalis glossinidius	63612	1	
		Sodalis praecaptivus	1239307	1	
		Candidatus Sodalis pierantonius	1486991	1	
		Sodalis endosymbiont of Henestaris halophilus	1929246	1	
		Dickeya paradisiaca	69223	1	
		Dickeya dadantii	204038	1	
		Dickeya chrysanthemi	556	1	
		Dickeya zeae	204042	2	
		Dickeya solani	1089444	2	
		Dickeya dianthicola	204039	1	
		Dickeya fangzhongdai	1778540	1	
		Brenneria goodwinii	1109412	1	
		Lonsdalea britannica	1082704	1	
		Erwinia tasmaniensis	338565	1	
		Erwinia pyrifoliae	79967	2	
		Erwinia amylovora	552	2	
		Erwinia billingiae	182337	1	
		Erwinia sp. Ejp617	215689	1	
		Erwinia gerundensis	1619313	1	
		Erwinia persicina	55211	1	
		Buchnera aphidicola	9	18	
		Wigglesworthia glossinidia	51229	2	
		Pantoea ananatis	553	4	
		Pantoea vagans	470934	2	
		Pantoea sp. At-9b	592316	1	
		Pantoea rwandensis	1076550	1	
		Pantoea sp. PSNIH1	1484158	1	
		Pantoea sp. PSNIH2	1484157	1	
		Candidatus Pantoea carbekii	1235990	2	
		Pantoea agglomerans	549	1	
		Pantoea stewartii	66269	1	
		Pantoea alhagi	1891675	1	
		Mixta gaviniae	665914	1	
		Mixta calida	665913	1	
		Tatumella citrea	53336	1	
		Tatumella ptyseos	82987	1	
		Photorhabdus laumondii	2218628	2	
		Photorhabdus asymbiotica	291112	1	
		Photorhabdus thracensis	230089	1	
		Proteus mirabilis	584	3	
		Proteus vulgaris	585	1	
		Xenorhabdus bovienii	40576	2	
		Xenorhabdus nematophila	628	2	
		Xenorhabdus doucetiae	351671	1	
		Xenorhabdus poinarii	40577	1	
		Xenorhabdus hominickii	351679	1	
		Providencia stuartii	588	3	
		Providencia rettgeri	587	1	
		Providencia alcalifaciens	126385	1	
		Providencia heimbachae	333962	1	
		Providencia sp. WCHPr000369	2027290	1	
		Morganella morganii	582	1	
		Arsenophonus symbiont of Lipoptena fortisetosa	634113	1	
		Arsenophonus endosymbiont of Aleurodicus dispersus	235559	1	
		Edwardsiella ictaluri	67780	1	
		Edwardsiella tarda	636	2	
		Edwardsiella anguillarum	1821960	1	
		Edwardsiella piscicida	1263550	1	
		Edwardsiella sp. EA181011	1578828	1	
		Edwardsiella sp. LADL05-105	1650654	1	
		Edwardsiella hoshinae	93378	1	
		Hafnia alvei	569	1	
		Hafnia paralvei	546367	1	
		Obesumbacterium proteus	82983	1	
		Pragia fontium	82985	1	
		Leminorella richardii	158841	1	
		Phytobacter ursingii	1972431	1	
		Plesiomonas shigelloides	703	1	
	Gammaproteobacteria - Others	Haemophilus influenzae	727	15	
		Haemophilus parainfluenzae	729	1	
		[Haemophilus] ducreyi	730	1	
		Haemophilus sp. oral taxon 036	712310	1	
		Glaesserella parasuis	738	4	
		Glaesserella sp. 15-184	2030797	1	
		Histophilus somni	731	2	
		Pasteurella multocida	747	5	
		Pasteurella dagmatis	754	1	
		Mannheimia succiniciproducens	157673	1	
		Mannheimia haemolytica	75985	10	
		Mannheimia sp. USDA-ARS-USMARC-1261	1432056	1	
		Mannheimia varigena	85404	3	
		Actinobacillus pleuropneumoniae	715	3	
		Actinobacillus succinogenes	67854	1	
		Actinobacillus suis	716	2	
		Actinobacillus equuli	718	1	
		Actinobacillus porcitonsillarum	189834	1	
		Aggregatibacter aphrophilus	732	2	
		Aggregatibacter actinomycetemcomitans	714	6	
		Gallibacterium anatis	750	1	
		Bibersteinia trehalosi	47735	4	
		Xylella fastidiosa	2371	8	
		Xylella taiwanensis	1444770	1	
		Xanthomonas campestris	339	4	
		Xanthomonas euvesicatoria	456327	2	
		Xanthomonas citri	346	11	
		Xanthomonas axonopodis	53413	1	
		Xanthomonas oryzae	347	6	
		Xanthomonas albilineans	29447	1	
		Xanthomonas sacchari	56458	1	
		Xanthomonas translucens	343	1	
		Xanthomonas fragariae	48664	1	
		Xanthomonas gardneri	90270	1	
		Xanthomonas vesicatoria	56460	1	
		Xanthomonas perforans	442694	1	
		Xanthomonas hortorum	56454	1	
		Xanthomonas phaseoli	1985254	1	
		Xanthomonas vasicola	56459	1	
		Stenotrophomonas maltophilia	40324	4	
		Stenotrophomonas acidaminiphila	128780	1	
		Stenotrophomonas sp. KCTC 12332	1793721	1	
		Stenotrophomonas rhizophila	216778	1	
		Stenotrophomonas sp. LM091	1904944	1	
		Stenotrophomonas sp. WZN-1	2005046	1	
		Stenotrophomonas sp. MYb57	1827305	1	
		Pseudoxanthomonas suwonensis	314722	2	
		Pseudoxanthomonas spadix	415229	1	
		Lysobacter antibioticus	84531	2	
		Lysobacter capsici	435897	1	
		Lysobacter gummosus	262324	1	
		Lysobacter enzymogenes	69	2	
		Lysobacter maris	1605891	1	
		Lysobacter sp. TY2-98	2290922	1	
		Luteimonas sp. 100111	2006110	1	
		Luteimonas sp. 83-4	2172536	1	
		Frateuria aurantia	81475	1	
		Rhodanobacter denitrificans	666685	1	
		Dyella jiangningensis	1379159	1	
		Dyella japonica	231455	1	
		Dyella thiooxydans	445710	1	
		Dokdonella koreensis	323415	1	
		Luteibacter rhizovicinus	242606	1	
		Ahniella affigens	2021234	1	
		Vibrio cholerae	666	13	
		Vibrio vulnificus	672	4	
		Vibrio parahaemolyticus	670	5	
		Vibrio campbellii	680	2	
		Vibrio alginolyticus	663	1	
		Vibrio antiquarius	150340	1	
		Vibrio diabolicus	50719	1	
		Vibrio harveyi	669	1	
		Vibrio natriegens	691	1	
		Vibrio owensii	696485	1	
		Vibrio rotiferianus	190895	1	
		Vibrio tasmaniensis	212663	1	
		Vibrio sp. EJY3	1116375	1	
		Vibrio furnissii	29494	1	
		Vibrio nigripulchritudo	28173	1	
		Vibrio anguillarum	55601	3	
		Vibrio coralliilyticus	190893	2	
		Vibrio tubiashii	29498	1	
		Vibrio fluvialis	676	1	
		Vibrio mimicus	674	1	
		Vibrio breoganii	553239	1	
		Vibrio scophthalmi	45658	1	
		Vibrio gazogenes	687	1	
		Vibrio mediterranei	689	1	
		Vibrio qinghaiensis	2025808	1	
		Vibrio tapetis	52443	1	
		Aliivibrio fischeri	668	2	
		Aliivibrio salmonicida	40269	1	
		Aliivibrio wodanis	80852	1	
		Photobacterium profundum	74109	1	
		Photobacterium gaetbulicola	1295392	1	
		Photobacterium damselae	38293	1	
		Grimontia hollisae	673	1	
		Paraphotobacterium marinum	1755811	1	
		Pseudomonas aeruginosa	287	21	
		Pseudomonas mendocina	300	2	
		Pseudomonas resinovorans	53412	1	
